Date,Vendor,Account Code,Account Name,Amount,Memo
2026-02-28,Amazon Web Services,6020,Software & SaaS,1194.00,EC2 + S3 + CloudFront + RDS – Feb 2026
2026-02-29,Stripe Inc.,6120,Bank & Finance Charges,2400.00,Payment processing fees – Feb 2026
2026-02-27,FedEx,6110,Shipping & Postage,347.85,Ground shipping – client deliveries
2026-02-25,Slack Technologies,6020,Software & SaaS,87.50,Team plan – 25 seats
2026-02-24,Google LLC,6040,Marketing & Advertising,1250.00,Google Ads – Feb campaign
2026-02-23,Comcast Business,6060,Utilities,189.99,Internet – office Feb 2026
2026-02-22,Dell Technologies,6090,Equipment & Hardware,2899.00,XPS 15 laptop – new hire
2026-02-21,WeWork,6070,Rent & Facilities,3200.00,Coworking space – Feb 2026
2026-02-20,UPS,6110,Shipping & Postage,214.40,Express shipping – client files
2026-02-19,Notion Labs,6020,Software & SaaS,64.00,Team workspace – Feb 2026
